   3   90   24   3     ! kAE, kLc, kmlt, kLat
 AE [nT]     L       MLT        Lat [0,10] LBC Bw [pT]       Lat [10,20] LBC Bw [pT]       Lat [20,30] LBC Bw [pT]
   0 100  1.95        13                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.95        14                 0.0000000e+00                 5.4683157e-02                 0.0000000e+00
   0 100  1.95        15                 0.0000000e+00                 1.0806634e-01                 0.0000000e+00
   0 100  1.95        16                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.95        17                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.95        18                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.95        19                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.95        20                 9.0347316e-01                 0.0000000e+00                 0.0000000e+00
   0 100  1.95        21                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.95        22                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.95        23                 1.2582033e+00                 2.0357804e-01                 0.0000000e+00
   0 100  2.05         0                 7.3448245e-01                 0.0000000e+00                 0.0000000e+00
   0 100  2.05         1                 7.4832016e-01                 0.0000000e+00                 0.0000000e+00
   0 100  2.05         2                 4.2779866e-01                 2.3197726e+00                 0.0000000e+00
   0 100  2.05         3                 6.5046457e-01                 9.1665380e-01                 0.0000000e+00
   0 100  2.05         4                 0.0000000e+00                 0.0000000e+00                 3.5429705e-01
   0 100  2.05         5                 0.0000000e+00                 0.0000000e+00                 1.2468897e+00
   0 100  2.05         6                 0.0000000e+00                 0.0000000e+00                 1.2543205e+00
   0 100  2.05         7                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  2.05         8                 7.6396716e-02                 2.8831164e-01                 0.0000000e+00
   0 100  2.05         9                 1.0714423e-01                 6.5300144e-02                 0.0000000e+00
   0 100  2.05        10                 1.2657022e-02                 0.0000000e+00                 0.0000000e+00
   0 100  2.05        11                 0.0000000e+00                 5.4045606e-02                 0.0000000e+00
   0 100  2.05        12                 0.0000000e+00                 0.0000000e+00                 1.5690840e-01
   0 100  2.05        13                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  2.05        14                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  2.05        15                 0.0000000e+00                 3.0076133e-01                 1.4228911e-01
   0 100  2.05        16                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  2.05        17                 0.0000000e+00                 0.0000000e+00                 1.0088481e-01
   0 100  2.05        18                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  2.05        19                 8.7654087e-01                 0.0000000e+00                 0.0000000e+00
   0 100  2.05        20                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  2.05        21                 1.7591956e+00                 0.0000000e+00                 0.0000000e+00
   0 100  2.05        22                 2.7625793e-01                 0.0000000e+00                 0.0000000e+00
   0 100  2.05        23                 0.0000000e+00                 5.7085234e-01                 0.0000000e+00
   0 100  2.15         0                 2.7047559e-01                 0.0000000e+00                 0.0000000e+00
